name,generics,brand_names,company_url
ACI Limited,380,731,https://medex.com.bd/companies/2/aci-limited/brands
ACME Laboratories Ltd.,434,739,https://medex.com.bd/companies/3/acme-laboratories-ltd/brands
Ad-din Pharmaceuticals Ltd.,75,108,https://medex.com.bd/companies/103/ad-din-pharmaceuticals-ltd/brands
Aexim Pharmaceuticals Ltd.,34,43,https://medex.com.bd/companies/114/aexim-pharmaceuticals-ltd/brands
Al-Madina Pharmaceuticals Ltd.,51,79,https://medex.com.bd/companies/292/al-madina-pharmaceuticals-ltd/brands
Albion Laboratories Limited,115,172,https://medex.com.bd/companies/108/albion-laboratories-limited/brands
Alco Pharma Ltd.,110,179,https://medex.com.bd/companies/4/alco-pharma-ltd/brands
Alien Pharma,4,4,https://medex.com.bd/companies/304/alien-pharma/brands
Alkad Laboratories,14,15,https://medex.com.bd/companies/245/alkad-laboratories/brands
Allied Pharmaceuticals Ltd.,7,10,https://medex.com.bd/companies/115/allied-pharmaceuticals-ltd/brands
Ambee Pharmaceuticals Ltd.,73,122,https://medex.com.bd/companies/5/ambee-pharmaceuticals-ltd/brands
Amico Laboratories Ltd.,87,122,https://medex.com.bd/companies/6/amico-laboratories-ltd/brands
Amulet Pharmaceuticals Ltd.,35,51,https://medex.com.bd/companies/7/amulet-pharmaceuticals-ltd/brands
APC Pharma Ltd.,28,42,https://medex.com.bd/companies/128/apc-pharma-ltd/brands
Apex Pharmaceuticals Ltd.,87,131,https://medex.com.bd/companies/8/apex-pharmaceuticals-ltd/brands
Apollo Pharmaceutical Ltd.,37,48,https://medex.com.bd/companies/9/apollo-pharmaceutical-ltd/brands
AqVida bangladesh,5,7,https://medex.com.bd/companies/258/aqvida-bangladesh/brands
Arges Life Science Limited,18,24,https://medex.com.bd/companies/289/arges-life-science-limited/brands
Aristopharma Ltd.,339,562,https://medex.com.bd/companies/10/aristopharma-ltd/brands
Asiatic Laboratories Ltd.,95,152,https://medex.com.bd/companies/81/asiatic-laboratories-ltd/brands
Astra Biopharmaceuticals Ltd.,57,90,https://medex.com.bd/companies/11/astra-biopharmaceuticals-ltd/brands
Aztec Pharmaceuticals Ltd.,14,16,https://medex.com.bd/companies/246/aztec-pharmaceuticals-ltd/brands
Beacon Pharmaceuticals PLC,298,516,https://medex.com.bd/companies/13/beacon-pharmaceuticals-plc/brands
Beauty Formulas,0,0,https://medex.com.bd/companies/415/beauty-formulas/brands
Belsen Pharmaceuticals Ltd.,19,24,https://medex.com.bd/companies/110/belsen-pharmaceuticals-ltd/brands
Bengal drugs Ltd.,16,22,https://medex.com.bd/companies/169/bengal-drugs-ltd/brands
